pair_id,trial_id,correct_sent,wrong_sent,ratio_wrong,avg_len
103_203,12,4,3,0.42857142857142855,3.7142857142857144
103_203,13,5,1,0.16666666666666666,3.5
103_203,14,7,3,0.3,3.5
103_203,15,4,4,0.5,3.25
103_203,16,2,2,0.5,3
103_203,17,10,2,0.16666666666666666,3.3333333333333335
103_203,18,2,1,0.3333333333333333,2.3333333333333335
103_203,19,2,2,0.5,6
103_203,20,4,4,0.5,3.625
103_203,21,10,9,0.47368421052631576,3.263157894736842
103_203,23,7,6,0.46153846153846156,2.1538461538461537
103_203,24,4,2,0.3333333333333333,1.3333333333333333
103_203,25,7,4,0.36363636363636365,3.6363636363636362
103_203,26,16,6,0.2727272727272727,2.090909090909091
103_203,27,6,7,0.5384615384615384,1.9230769230769231
103_203,28,2,6,0.75,2.375
103_203,29,2,7,0.7777777777777778,2.5555555555555554
103_203,30,2,4,0.6666666666666666,4
103_203,31,0,10,1,2.5
103_203,32,3,0,0,1
103_203,34,4,3,0.42857142857142855,5.571428571428571
103_203,35,6,2,0.25,1.5
103_203,36,1,2,0.6666666666666666,3.6666666666666665
103_203,37,4,3,0.42857142857142855,3.7142857142857144
103_203,38,2,1,0.3333333333333333,5.333333333333333
103_203,39,3,1,0.25,2.75
103_203,40,4,0,0,3
103_203,41,3,1,0.25,2.25
103_203,42,2,2,0.5,2
103_203,43,2,1,0.3333333333333333,6.666666666666667
103_203,45,9,8,0.47058823529411764,3.7058823529411766
103_203,46,1,6,0.8571428571428571,2
103_203,47,2,3,0.6,1.2
103_203,48,4,2,0.3333333333333333,2.8333333333333335
103_203,49,2,2,0.5,2.5
103_203,50,0,5,1,2.2
103_203,51,8,6,0.42857142857142855,2
103_203,52,11,14,0.56,3.48
103_203,53,2,2,0.5,1.5
103_203,54,0,5,1,1.5
