trial_id,pair_id,trial_number,condition,target_word,participant_id,role,seg,start,end,text,source
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,103,clue_giver,0,1.36,3.437,"Okay, it's like, something sweet,",textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,103,clue_giver,2,3.93,4.476,like...,textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,103,clue_giver,4,5.744,6.245,"uh, ssss",textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,103,clue_giver,6,7.099,8.866,"Like, think bread, but sweet.",textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,103,clue_giver,8,9.558,10.046,uh,textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,103,clue_giver,10,11.263,13.903,"It's like  that, and then has another one in the middle.",textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,103,clue_giver,12,15.683,15.938,Yeah,textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,203,guesser,1,7.716,7.896,mm,textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,203,guesser,3,14.659,15.603,"Sweet, but donuts?",textgrid
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,203,guesser,5,16.336,16.512,Okay.,textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,103,clue_giver,0,3.808,5.158,"Uh, oh no",textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,103,clue_giver,2,5.636,6.234,"It's like,",textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,103,clue_giver,4,6.858,10.333,"think lettuce, but not lettuce. Similar to lettuce",textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,103,clue_giver,6,10.985,11.386,No.,textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,103,clue_giver,8,12.429,14.092,"No, similar to that, I think.",textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,103,clue_giver,10,15.27,15.431,Yeah,textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,203,guesser,1,9.696,10.299,Cabbage,textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,203,guesser,3,11.451,11.867,Kale.,textgrid
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,203,guesser,5,14.282,15.213,Uh Spinach,textgrid
