trial_id,pair_id,trial_number,condition,target_word,avg_gest_duration,gest_per_sec
103_203_12_1_20250113_152455_doughnut_board,103_203,12,board,doughnut,2.0,0.2298850574712644
103_203_13_1_20250113_152513_spinach_board,103_203,13,board,spinach,1.333333333333334,0.2857142857142857
103_203_14_1_20250113_152536_balloon_board,103_203,14,board,balloon,0.8843137254901959,0.7715582450832074
103_203_15_1_20250113_152557_bacon_board,103_203,15,board,bacon,4.533333333333333,0.19543973941368079
103_203_16_1_20250113_152613_chlorine_board,103_203,16,board,chlorine,1.2000000000000002,0.5183585313174945
103_203_17_1_20250113_152643_leather_board,103_203,17,board,leather,1.9619047619047625,0.23728813559322035
103_203_18_1_20250113_152657_pillow_board,103_203,18,board,pillow,0.7888888888888888,0.5042016806722689
103_203_19_1_20250113_152712_traffic_board,103_203,19,board,traffic,2.4000000000000004,0.06864988558352403
103_203_20_1_20250113_152735_bitter_board,103_203,20,board,bitter,2.188888888888888,0.4029850746268658
103_203_21_1_20250113_152824_tiger_board,103_203,21,board,tiger,1.5444444444444445,0.3155680224403927
103_203_23_1_20250113_152946_trumpet_ground,103_203,23,ground,trumpet,0.4615384615384611,0.7823470411233701
103_203_24_1_20250113_152957_pasta_ground,103_203,24,ground,pasta,0.21666666666666676,0.19047619047619047
103_203_25_1_20250113_153028_hamster_ground,103_203,25,ground,hamster,0.39540229885057465,0.9797297297297297
103_203_26_1_20250113_153140_siren_ground,103_203,26,ground,siren,0.7550387596899215,0.6148713060057197
103_203_27_1_20250113_153217_jungle_ground,103_203,27,ground,jungle,1.608333333333333,0.28742514970059885
103_203_28_1_20250113_153235_birthday_ground,103_203,28,ground,birthday,0.7166666666666671,0.6936416184971098
103_203_29_1_20250113_153255_cherry_ground,103_203,29,ground,cherry,0.3358974358974361,1.4003590664272894
103_203_30_1_20250113_153310_exam_ground,103_203,30,ground,exam,0.5000000000000004,0.13824884792626727
103_203_31_1_20250113_153333_flower_ground,103_203,31,ground,flower,0.5571428571428567,0.6392694063926941
103_203_32_1_20250113_153341_coffee_ground,103_203,32,ground,coffee,0.5,0.14492753623188406
103_203_34_1_20250113_153427_picture_ground,103_203,34,ground,picture,0.43809523809523776,0.6572769953051643
103_203_35_1_20250113_153443_yellow_ground,103_203,35,ground,yellow,0.4454545454545453,0.728476821192053
103_203_36_1_20250113_153454_flannel_ground,103_203,36,ground,flannel,0,0
103_203_37_1_20250113_153517_movie_ground,103_203,37,ground,movie,0.45757575757575675,0.990990990990991
103_203_38_1_20250113_153528_puppy_ground,103_203,38,ground,puppy,1.2133333333333332,0.44910179640718567
103_203_39_1_20250113_153540_muscle_ground,103_203,39,ground,muscle,0.23749999999999988,0.7476635514018692
103_203_40_1_20250113_153555_beauty_ground,103_203,40,ground,beauty,0.8666666666666668,0.37220843672456577
103_203_41_1_20250113_153604_sugar_ground,103_203,41,ground,sugar,0.21666666666666665,0.6666666666666666
103_203_42_1_20250113_153614_sushi_ground,103_203,42,ground,sushi,1.2333333333333345,0.11320754716981131
103_203_43_1_20250113_153626_gravy_ground,103_203,43,ground,gravy,0.5416666666666667,0.3761755485893417
103_203_45_1_20250113_153745_walnut_board,103_203,45,board,walnut,1.0452380952380946,0.6907894736842105
103_203_46_1_20250113_153759_blanket_board,103_203,46,board,blanket,0.9190476190476191,0.546875
103_203_47_1_20250113_153811_soda_board,103_203,47,board,soda,0.6703703703703706,0.8517350157728707
103_203_48_1_20250113_153828_hunger_board,103_203,48,board,hunger,0.5575757575757578,0.712742980561555
103_203_49_1_20250113_153839_christmas_board,103_203,49,board,christmas,0.5966666666666669,0.9677419354838709
103_203_50_1_20250113_153852_butter_board,103_203,50,board,butter,3.150000000000001,0.16260162601626016
103_203_51_1_20250113_153926_cologne_board,103_203,51,board,cologne,1.0966666666666671,0.6134969325153374
